gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1810073O08Rik,6.049826967224714,1.0828447516331132,0.41649547753349814,2.599895581209574,0.009325213066960061,0.031273799460301385
LOC105246338,9.968794270075016,0.24899218621574906,0.3372322247732556,0.7383404310876982,0.46030760330057285,0.62618887653143
LOC105246337,3.839517218542541,0.13718104533754194,0.5795874166630601,0.2366874114130248,0.81289930174509,0.8899232307472003
Gm35229,6.418424288805289,0.14421658196030024,0.4298582396849704,0.3354980052632981,0.7372494491854136,0.8402690987895992
Gm35457,12.235792011564838,0.7572995514387287,0.3563173899220095,2.125351085459191,0.03355732856021074,0.0889701182307342
8430430B14Rik,0.5810325211720723,1.3165186292297857,1.3880859369552865,0.9484417312933225,0.3429046232013798,NA
Gm35551,0.5021522957475276,1.4450520056618605,1.3925018146999024,1.0377379694641786,0.29939206272799473,NA
4933433H22Rik,0.2735885145866408,1.541221493095812,1.8918196428407958,0.8146767578655022,0.41525736072674296,NA
Gm19696,0.26047778660289783,-0.827037600907618,1.952644527859134,-0.42354744507151865,0.6718958902034889,NA
LOC105246339,6.694484215403997,0.6267826125175117,0.3593513159655859,1.744205696960734,0.08112322830181774,0.1790474283669376
Zfp36l2,984.9920031370075,0.4946961192783103,0.07738908876475237,6.3923238685764785,1.6338337726257102e-10,4.310045875245959e-9
Gm36279,30.610024142203454,-0.5473869338206522,0.1881503755675012,-2.9093055603509574,0.0036223263181106536,0.014087239498989094
Thada,684.6632831413974,-0.12265486970258924,0.06655802189515396,-1.8428262470871246,0.06535438330359433,0.15129703505099254
LOC105246340,0.2881336105445503,-0.6944994525715187,1.8687214961432301,-0.3716441716996699,0.7101577966989268,NA
Gm36202,1.6623789462314682,-1.1866379178667645,0.8970586470010098,-1.322809742522251,0.18589865650093154,0.33385730848507184
LOC105246341,0.5044555838745058,-1.034154677889553,1.5018863401773908,-0.6885705330853511,0.49109356981569374,NA
Plekhh2,441.17723996071726,0.06339550720971461,0.06592241541811339,0.961668452340955,0.3362161742741908,0.5075985117744154
4930500A05Rik,1.5098106344348734,0.8962845097448372,0.7829477723775978,1.1447564465546236,0.2523100616191405,0.41681526419149156
Dync2li1,467.5973151935386,-0.11087379042608829,0.06088056389837276,-1.8211689137960132,0.06858118430298366,0.15706430491892465
Abcg5,0.8897906354756806,0.9805362559374341,1.1051561752821835,0.8872377297145992,0.3749509231604761,NA
Abcg8,0.4851408525353204,1.3799287021321243,1.5069940240351791,0.9156829291447219,0.3598332211390102,NA
Lrpprc,3018.937094013156,-0.090848185390246,0.0487820987176831,-1.862326299571738,0.06255711058948107,0.14633295174476174
1110020A21Rik,73.57986023885425,0.08695945852242237,0.11600439203467171,0.749622122035101,0.4534823234013581,0.6205258997561417
Ppm1b,7208.795217902871,0.10390962982073534,0.04304607647014944,2.4139163970679673,0.015782083143385413,0.04831755307282368
Slc3a1,34.19775701074616,0.16701980285535442,0.18125977272527202,0.9214388848898065,0.3568213351341647,0.5285186898387987
Prepl,20762.177265708757,0.09762669167273866,0.045936419865009175,2.125256865024067,0.033565185421868315,0.08898037091105265
Camkmt,820.6198550859378,0.01069418112886473,0.03951425552529462,0.2706410885564823,0.7866670906601569,0.8723994093126708
LOC105246342,2.2738704014479953,-0.2662877406766675,0.7004590706241676,-0.38016174226908483,0.7038253563005135,0.8185061417846363
Gm36826,0.6621151862755953,0.3788144621466336,1.2244538601644537,0.30937422345645255,0.7570368759534876,NA
Six3os1,23.302388186319504,-0.0183675441425512,0.8456782339974179,-0.02171930576447505,0.9826718636317654,0.9915758725751062
Six3,69.47134888867059,0.2945767390877177,0.8421415170816564,0.3497948184629813,0.7264926879591733,0.8334652288138238
