Feature,AM1,AM2,AM3,FM3,FM4,FM5
Pde6g,2.9695310445123417,10.686104997628094,6.023012537258783,0.9638470267282724,2.0604588767732097,0.9977632645937673
Pde6h,6.9289057705287975,8.743176816241167,12.046025074517566,0.9638470267282724,2.0604588767732097,3.991053058375069
Pde7a,717.6366690904827,712.0831784783085,761.911085963236,3076.599709316645,2799.1333840964053,3322.551671097245
Pde7b,1299.6647538149016,1070.5534279441963,1456.565198593749,132.0470426617733,147.3228096892845,127.71369786800221
Pde8a,461.2671555809171,564.420636692902,457.7489528316675,97.3485496995555,89.62996113963462,83.81211422587646
Pde8b,2058.874857528557,1943.8996454776197,2186.353551024938,185.0586291318283,169.98785733378978,208.53252230009738
Pde9a,342.4859138004234,383.7283158239179,405.5495108420914,1135.4117974859048,1206.3986723507142,1023.7051094732053
Pdf,13.857811541057595,18.457817723175797,23.088214726158668,28.91541080184817,24.725506521278515,22.948555085656647
Pdgfa,536.4952753752298,716.9404989317758,535.0442803931552,264.0940853235466,287.43401330986273,236.46989370872285
Pdgfb,555.3023053238079,737.3412448363384,592.2628994971137,175.42015886454556,137.02051530541843,165.62870192256537
Pdgfc,175.20233162622816,172.92060814343643,182.69804696351642,227.46789830787228,267.85965398051724,329.2618773159432
Pdgfd,122.74061650651014,71.88834271131627,99.37970686476991,5.783082160369634,10.302294383866048,11.973159175125208
Pdgfra,1782.7084703889093,1593.2011087372794,1884.1990887391225,770.1137743558896,790.1859792425258,820.1614034960768
Pdgfrb,533.5257443307174,627.5658025879771,610.33193710889,551.3204992885718,432.696364122374,415.0695180710072
Pdgfrl,20.786717311586393,19.429281813869263,13.04986049739403,18.313093507837173,21.6348182061187,26.939608144031716
Pdha1,4398.865320604283,4318.157883132443,4519.267073789841,1957.5733112851212,2245.9001756827984,2146.1887821411933
Pdha2,20.786717311586393,23.315138176643114,18.06903761177635,6.746929187097907,16.483671014185678,8.979869381343907
Pdhb,1428.3444324104364,1523.2556942073502,1448.5345152107373,1044.8101769734471,1118.8291700878528,1127.4724889909571
Pdhx,986.8741504596017,885.0037866217449,853.2601094449943,656.3798252019535,634.6213340461485,650.5416485151363
Pdia2,6.9289057705287975,10.686104997628094,4.0153416915058555,4.819235133641362,2.0604588767732097,6.984342852156371
Pdia3,4193.967678532931,3858.655368234435,3571.6464345944582,2905.998785585741,3240.071583725872,3799.482511573066
Pdia4,889.8694696721984,960.777985695835,853.2601094449943,1332.0365909384723,1338.2680404641997,1219.2667093335838
Pdia5,62.36015193475918,84.5173758903313,69.264644178476,60.72236268388116,77.26720787899536,57.870269346438505
Pdia6,2006.413142408839,2167.336386337116,2101.027540080439,3474.6685313554217,3821.1209869759173,3384.4129935020587
Pdik1l,332.5874769853823,279.78165811971735,301.15062686293913,782.6437857033571,793.2766675576856,987.7856319478296
Pdilt,0,1.9429281813869261,0,0,1.0302294383866049,2.993289793781302
