Feature,AM1,AM2,AM3,FM3,FM4,FM5
Tmlhe,0,0,0,0,0,0
Tmod1,749,759,733,5,4,4
Tmod2,15467,13025,13098,9901,9273,11665
Tmod3,604,594,508,1443,1385,1390
Tmod4,5,2,1,14,12,14
Tmpo,513,514,509,2836,1935,2552
Tmprss11a,14,8,10,0,0,0
Tmprss11b,0,0,0,1,0,0
Tmprss11c,0,0,0,0,0,0
Tmprss11d,0,0,0,0,0,0
Tmprss11e,0,0,0,0,0,2
Tmprss11f,0,0,0,0,0,0
Tmprss12,0,0,1,0,0,0
Tmprss13,0,1,1,1,2,0
Tmprss2,0,2,0,1,1,0
Tmprss3,2,2,1,0,0,0
Tmprss4,7,10,7,1,0,1
Tmprss5,14,25,18,15,25,23
Tmprss6,18,8,20,6,10,3
Tmprss7,39,25,51,18,22,19
Tmprss8,6,11,8,0,2,2
Tmprss9,19,19,18,14,7,8
Tmsb10,1724,1986,1113,8949,8758,7555
Tmsb15a,0,0,0,0,0,0
Tmsb15b1,17,17,18,49,35,64
