Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM7760557,"rna-seq_bat_training_male_4w_biological_rep1_vial_90280016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997072",SRX20997072,"Euan Ashley","Sep 30, 2023"
GSM7760558,"rna-seq_bat_training_male_4w_biological_rep2_vial_90281016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997073",SRX20997073,"Euan Ashley","Sep 30, 2023"
GSM7760559,"rna-seq_bat_training_male_4w_biological_rep3_vial_90283016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997074",SRX20997074,"Euan Ashley","Sep 30, 2023"
GSM7760560,"rna-seq_bat_training_male_4w_biological_rep4_vial_90289016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997657",SRX20997657,"Euan Ashley","Sep 30, 2023"
GSM7760561,"rna-seq_bat_training_male_4w_biological_rep5_vial_90292016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997658",SRX20997658,"Euan Ashley","Sep 30, 2023"
GSM7760562,"rna-seq_bat_training_female_4w_biological_rep1_vial_90406016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997659",SRX20997659,"Euan Ashley","Sep 30, 2023"
GSM7760563,"rna-seq_bat_training_female_4w_biological_rep2_vial_90410016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997660",SRX20997660,"Euan Ashley","Sep 30, 2023"
GSM7760564,"rna-seq_bat_training_female_4w_biological_rep3_vial_90412016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997661",SRX20997661,"Euan Ashley","Sep 30, 2023"
GSM7760565,"rna-seq_bat_training_female_4w_biological_rep4_vial_90416016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997076",SRX20997076,"Euan Ashley","Sep 30, 2023"
GSM7760566,"rna-seq_bat_training_female_4w_biological_rep5_vial_90420016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997077",SRX20997077,"Euan Ashley","Sep 30, 2023"
GSM7760567,"rna-seq_bat_training_male_1w_biological_rep1_vial_90421016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997078",SRX20997078,"Euan Ashley","Sep 30, 2023"
GSM7760568,"rna-seq_bat_training_male_1w_biological_rep2_vial_90422016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997079",SRX20997079,"Euan Ashley","Sep 30, 2023"
GSM7760569,"rna-seq_bat_training_male_1w_biological_rep3_vial_90423016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997665",SRX20997665,"Euan Ashley","Sep 30, 2023"
GSM7760570,"rna-seq_bat_training_male_1w_biological_rep4_vial_90426016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997666",SRX20997666,"Euan Ashley","Sep 30, 2023"
GSM7760571,"rna-seq_bat_training_male_1w_biological_rep5_vial_90430016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997667",SRX20997667,"Euan Ashley","Sep 30, 2023"
GSM7760572,"rna-seq_bat_training_male_2w_biological_rep1_vial_90439016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997668",SRX20997668,"Euan Ashley","Sep 30, 2023"
GSM7760573,"rna-seq_bat_training_male_2w_biological_rep2_vial_90441016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997669",SRX20997669,"Euan Ashley","Sep 30, 2023"
GSM7760574,"rna-seq_bat_training_male_2w_biological_rep3_vial_90444016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997068",SRX20997068,"Euan Ashley","Sep 30, 2023"
GSM7760575,"rna-seq_bat_training_male_2w_biological_rep4_vial_90449016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997070",SRX20997070,"Euan Ashley","Sep 30, 2023"
GSM7760576,"rna-seq_bat_training_male_2w_biological_rep5_vial_90450016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997071",SRX20997071,"Euan Ashley","Sep 30, 2023"
GSM7760577,"rna-seq_bat_training_female_1w_biological_rep1_vial_90559016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997332",SRX20997332,"Euan Ashley","Sep 30, 2023"
GSM7760578,"rna-seq_bat_training_female_1w_biological_rep2_vial_90560016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997333",SRX20997333,"Euan Ashley","Sep 30, 2023"
GSM7760579,"rna-seq_bat_training_female_1w_biological_rep3_vial_90564016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997334",SRX20997334,"Euan Ashley","Sep 30, 2023"
GSM7760580,"rna-seq_bat_training_female_1w_biological_rep4_vial_90567016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997335",SRX20997335,"Euan Ashley","Sep 30, 2023"
GSM7760581,"rna-seq_bat_training_female_1w_biological_rep5_vial_90571016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997336",SRX20997336,"Euan Ashley","Sep 30, 2023"
GSM7760582,"rna-seq_bat_training_female_2w_biological_rep1_vial_90576016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997339",SRX20997339,"Euan Ashley","Sep 30, 2023"
GSM7760583,"rna-seq_bat_training_female_2w_biological_rep2_vial_90578016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997340",SRX20997340,"Euan Ashley","Sep 30, 2023"
GSM7760584,"rna-seq_bat_training_female_2w_biological_rep3_vial_90581016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997341",SRX20997341,"Euan Ashley","Sep 30, 2023"
